target_end_date,value,type,quantile,forecast_date,target,location
2020-11-26,116.01153320885365,quantile,0.150,2020-11-20,6 day ahead inc hosp,25
2020-11-26,120.41406847971226,quantile,0.200,2020-11-20,6 day ahead inc hosp,25
2020-11-26,124.28989243381406,quantile,0.250,2020-11-20,6 day ahead inc hosp,25
2020-11-26,127.84956528283824,quantile,0.300,2020-11-20,6 day ahead inc hosp,25
2020-11-26,131.215880368522,quantile,0.350,2020-11-20,6 day ahead inc hosp,25
2020-11-26,134.4712383727697,quantile,0.400,2020-11-20,6 day ahead inc hosp,25
2020-11-26,137.67812505501544,quantile,0.450,2020-11-20,6 day ahead inc hosp,25
2020-11-26,140.88983498883601,quantile,0.500,2020-11-20,6 day ahead inc hosp,25
2020-11-26,142.65877788292832,point,NA,2020-11-20,6 day ahead inc hosp,25
2020-11-26,144.15741118557497,quantile,0.550,2020-11-20,6 day ahead inc hosp,25
2020-11-26,147.53551501948505,quantile,0.600,2020-11-20,6 day ahead inc hosp,25
2020-11-26,151.08909329875894,quantile,0.650,2020-11-20,6 day ahead inc hosp,25
2020-11-26,154.9031020831667,quantile,0.700,2020-11-20,6 day ahead inc hosp,25
2020-11-26,159.0995460238811,quantile,0.750,2020-11-20,6 day ahead inc hosp,25
2020-11-26,163.87219812447205,quantile,0.800,2020-11-20,6 day ahead inc hosp,25
2020-11-26,169.5699368336544,quantile,0.850,2020-11-20,6 day ahead inc hosp,25
2020-11-26,176.94857344706207,quantile,0.900,2020-11-20,6 day ahead inc hosp,25
2020-11-26,188.32452698325318,quantile,0.950,2020-11-20,6 day ahead inc hosp,25
2020-11-26,198.6280917198552,quantile,0.975,2020-11-20,6 day ahead inc hosp,25
2020-11-26,211.1334196618127,quantile,0.990,2020-11-20,6 day ahead inc hosp,25
2020-11-27,89.71545767745512,quantile,0.010,2020-11-20,7 day ahead inc hosp,25
2020-11-27,96.8727623316849,quantile,0.025,2020-11-20,7 day ahead inc hosp,25
2020-11-27,103.36373947315421,quantile,0.050,2020-11-20,7 day ahead inc hosp,25
